location,size,total_sqft,bath,price,Place,bhk
"Sukhdev Vihar, Okhla",4 bhk,2210,3,410,Delhi,4
"Abul Fazal Enclave Part-II, Okhla",2 bhk,750,2,38,Delhi,2
"Godrej South Estate, Okhla Phase 1",4 bhk,2518.7526,5,689,Delhi,4
"Jamia Nagar, Okhla",2 bhk,588,2,18,Delhi,2
"Zakir Nagar, New Friends Colony",2 bhk,540,1,15,Delhi,2
"Sukhdev Vihar, Okhla",3 bhk,1100,3,125,Delhi,3
"Batla House, Okhla",2 bhk,550,1,16,Delhi,2
"Batla House Project, Batla House, Okhla",3 bhk,750,2,24,Delhi,3
"Abul Fazal Enclave Part 1, Okhla",3 bhk,1260,2,70,Delhi,3
"Abul Fazal Enclave Part-II, Okhla",2 bhk,675,2,31,Delhi,2
"Sukhdev Vihar, Okhla",2 bhk,810,2,145,Delhi,2
"Sukhdev Vihar, Okhla",4 bhk,3150,5,615,Delhi,4
"Sukhdev Vihar, Okhla",4 bhk,2000,4,275,Delhi,4
"The Amaryllis, Karol Bagh",3 bhk,1775,3,255,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1135,3,250,Delhi,3
"The Amaryllis, Karol Bagh",2 bhk,1252,2,185,Delhi,2
"The Amaryllis, Karol Bagh",4 bhk,2000,4,397,Delhi,4
"Dev Nagar, Karol Bagh",4 bhk,530,1,68,Delhi,4
"Beadon Pura, Karol Bagh How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. carpet area 148 sqyrd status Ready to Move floor 3 out of 3 floors transaction Resale furnishing Semi-Furnished bathroom 2 balcony 3 ownership Freehold Contact Now Enquire Now Auction By Bank",3 bhk,1332,2,65.4,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1017,3,220,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1775,3,255,Delhi,3
"The Amaryllis, Karol Bagh",2 bhk,987,2,170,Delhi,2
"The Amaryllis, Karol Bagh",3 bhk,1912,3,275,Delhi,3
"The Amaryllis, Karol Bagh",5 bhk,5236,7,737,Delhi,5
"The Amaryllis, Karol Bagh",4 bhk,2805,4,523,Delhi,4
"DDA Mig Flat, Prasad Nagar, Karol Bagh",3 bhk,1500,3,160,Delhi,3
Karol Bagh,3 bhk,1280,3,150,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1775,3,255,Delhi,3
Karol Bagh,2 bhk,675,2,100,Delhi,2
"Prasad Nagar, Karol Bagh",2 bhk,576,2,50,Delhi,2
Karol Bagh,3 bhk,1206,3,200,Delhi,3
"DDA MIG Flats Prasad Nagar Phase 2, Prasad Nagar, Karol Bagh",2 bhk,1143,2,160,Delhi,2
Karol Bagh,1 bhk,345,1,55,Delhi,1
"Dev Nagar, Karol Bagh",2 bhk,720,1,70,Delhi,2
Karol Bagh,2 bhk,468,2,41,Delhi,2
"Karol Bagh carpet area 1600 sqft status Ready to Move floor 3 out of 3 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold Near to Karol Bagh Metro station...................................... Its a very peaceful location ....................................................................................................................... read more Contact Agent View Phone No. Share Feedback Agent S R B Properties",3 bhk,1600,3,240,Delhi,3
"DDA MIG Flats Prasad Nagar Phase 2, Prasad Nagar, Karol Bagh",2 bhk,950,2,125,Delhi,2
"Dev Nagar, Karol Bagh",2 bhk,535,1,39,Delhi,2
Karol Bagh,3 bhk,1200,2,145,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1501,2,200,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1135,3,245,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,1200,2,209,Delhi,3
"The Amaryllis, Karol Bagh",3 bhk,2200,3,431,Delhi,3
"DLF Capital Greens, Moti Nagar, Kirti Nagar ( 1 km from New Moti Nagar, Kirti Nagar)",3 bhk,1240,3,180,Delhi,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",4 bhk,3002,5,500,Delhi,4
"New Moti Nagar, Kirti Nagar",3 bhk,1350,2,185,Delhi,3
"New Moti Nagar, Kirti Nagar",4 bhk,2300,5,465,Delhi,4
"New Moti Nagar, Kirti Nagar",3 bhk,1429,3,175,Delhi,3
"New Moti Nagar, Kirti Nagar",4 bhk,2430,5,425,Delhi,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1450,3,155,Delhi,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2 bhk,1250,2,150,Delhi,2
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",4 bhk,2800,4,400,Delhi,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1646,3,200,Delhi,3
"New Moti Nagar, Kirti Nagar",2 bhk,900,2,67,Delhi,2
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1250,2,160,Delhi,3
"New Moti Nagar, Kirti Nagar",3 bhk,900,2,80,Delhi,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1590,2,250,Delhi,3
"New Moti Nagar, Kirti Nagar",3 bhk,990,2,250,Delhi,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",4 bhk,2282,5,375,Delhi,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1260,3,250,Delhi,3
"New Moti Nagar, Kirti Nagar",3 bhk,1457,3,230,Delhi,3
"New Moti Nagar, Kirti Nagar",3 bhk,1400,2,175,Delhi,3
"DLF Capital Greens, Moti Nagar, Kirti Nagar ( 1 km from New Moti Nagar, Kirti Nagar)",4 bhk,2175,4,440,Delhi,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1450,3,150,Delhi,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",4 bhk,2800,5,425,Delhi,4
"New Moti Nagar, Kirti Nagar",2 bhk,861.112,2,50,Delhi,2
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",4 bhk,2282,5,380,Delhi,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1753,3,190,Delhi,3
"New Moti Nagar, Kirti Nagar",4 bhk,2659,5,435,Delhi,4
"New Moti Nagar, Kirti Nagar",3 bhk,1550,2,195,Delhi,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",3 bhk,1470,2,142,Delhi,3
"New Moti Nagar, Kirti Nagar",3 bhk,702,2,142,Delhi,3
"New Moti Nagar, Kirti Nagar",2 bhk,1138,2,135,Delhi,2
Sheikh Sarai Phase 1,3 bhk,1600,3,210,Delhi,3
Sheikh Sarai Phase 1,3 bhk,1600,3,225,Delhi,3
Sheikh Sarai,2 bhk,1250,4,190,Delhi,2
Sheikh Sarai Phase 2,3 bhk,810,2,75,Delhi,3
"Savitri Nagar Village, Sheikh Sarai",2 bhk,585,2,40,Delhi,2
"Savitri Nagar Village, Sheikh Sarai",3 bhk,1700,3,80,Delhi,3
Sheikh Sarai Phase 1,3 bhk,1800,4,190,Delhi,3
Sheikh Sarai Phase 2,1 bhk,600,1,70,Delhi,1
"Panchsheel Vihar, Sheikh Sarai",3 bhk,1250,3,58,Delhi,3
"Savitri Nagar Village, Sheikh Sarai",3 bhk,600,2,80,Delhi,3
Sheikh Sarai Phase 1,3 bhk,1600,4,188,Delhi,3
"Panchsheel Vihar, Sheikh Sarai",3 bhk,1100,2,60,Delhi,3
"Panchsheel Vihar, Sheikh Sarai",1 bhk,450,1,22,Delhi,1
"Savitri Nagar Village, Sheikh Sarai",3 bhk,855,2,65,Delhi,3
Sheikh Sarai Phase 1,3 bhk,1291.668,2,235,Delhi,3
Sheikh Sarai Phase 1,2 bhk,1300,2,160,Delhi,2
Sheikh Sarai Phase 1,3 bhk,1350,3,200,Delhi,3
Sheikh Sarai Phase 1,2 bhk,900,2,55,Delhi,2
Sheikh Sarai Phase 1,2 bhk,850,2,135,Delhi,2
Sheikh Sarai Phase 1,3 bhk,1650,3,225,Delhi,3
"Panchsheel Vihar, Sheikh Sarai",2 bhk,650,2,38,Delhi,2
"Apna Apartments, Savitri Nagar Village, Sheikh Sarai",2 bhk,630,2,46,Delhi,2
Sheikh Sarai Phase 1,2 bhk,1250,1,175,Delhi,2
"Panchsheel Vihar, Sheikh Sarai",4 bhk,1800,3,55,Delhi,4
Sheikh Sarai Phase 1,3 bhk,1500,3,225,Delhi,3
Sheikh Sarai Phase 1,2 bhk,1100,2,125,Delhi,2
Sheikh Sarai Phase 1,3 bhk,1400,2,190,Delhi,3
Sheikh Sarai Phase 1,2 bhk,1300,2,155,Delhi,2
Sheikh Sarai Phase 1,2 bhk,1100,2,135,Delhi,2
Sheikh Sarai Phase 1,3 bhk,1600,3,210,Delhi,3
"Punjabi Bagh Enclave, Punjabi Bagh West",4 bhk,2250,4,500,Delhi,4
Punjabi Bagh,4 bhk,2592,3,425,Delhi,4
Punjabi Bagh West,4 bhk,1800,4,455,Delhi,4
Punjabi Bagh,3 bhk,1700,3,230,Delhi,3
Punjabi Bagh West,3 bhk,1640,3,120,Delhi,3
Punjabi Bagh West,3 bhk,2572,3,350,Delhi,3
"Punjabi Bagh Enclave, Shivaji Park, Punjabi Bagh",3 bhk,2100,3,250,Delhi,3
"Punjabi Bagh Extension, Punjabi Bagh",3 bhk,1620,3,290,Delhi,3
Punjabi Bagh West,4 bhk,2500,4,800,Delhi,4
Punjabi Bagh West,3 bhk,2250,3,205,Delhi,3
"DLF Capitals Phase III, Shivaji Park, Punjabi Bagh",4 bhk,2445,4,525,Delhi,4
Punjabi Bagh,4 bhk,2250,4,375,Delhi,4
"Punjabi Bagh Enclave, Punjabi Bagh West",2 bhk,800,2,75,Delhi,2
"Punjabi Bagh Enclave, Punjabi Bagh",3 bhk,1450,3,325,Delhi,3
"Punjabi Bagh Extension, Punjabi Bagh",3 bhk,1440,3,245,Delhi,3
Punjabi Bagh West,5 bhk,5220,5,650,Delhi,5
Punjabi Bagh,3 bhk,1800,3,275,Delhi,3
Punjabi Bagh West,5 bhk,4455,5,1150,Delhi,5
"Punjabi Bagh Extension, Punjabi Bagh",3 bhk,195,3,280,Delhi,3
"Punjabi Bagh Extension, Punjabi Bagh",2 bhk,807.2925,1,80,Delhi,2
Punjabi Bagh West,4 bhk,3500,4,751,Delhi,4
"Punjabi Bagh Enclave, Madipur, Punjabi Bagh",2 bhk,1000,2,78,Delhi,2
"Bhagwan Das Nagar, Punjabi Bagh",2 bhk,900,2,150,Delhi,2
Punjabi Bagh East,3 bhk,1800,3,275,Delhi,3
Punjabi Bagh West,3 bhk,17010,3,250,Delhi,3
Punjabi Bagh East,4 bhk,2340,4,260,Delhi,4
Punjabi Bagh East,3 bhk,1350,3,235,Delhi,3
"Bhagwan Das Nagar, Punjabi Bagh",3 bhk,464,1,42,Delhi,3
Punjabi Bagh East,2 bhk,954,2,100,Delhi,2
"Pal Mohan Apartments, Punjabi Bagh",2 bhk,1155,2,185,Delhi,2
Alaknanda,2 bhk,700,2,165,Delhi,2
"Shivalik Apartments, Alaknanda",2 bhk,980,2,138,Delhi,2
"Narmada Apartment, Alaknanda",3 bhk,1350,3,210,Delhi,3
"Gangotri Enclave, Alaknanda",3 bhk,1800,3,225,Delhi,3
"Aravali Apartments, Alaknanda",2 bhk,968.751,2,150,Delhi,2
"Narmada Apartment, Alaknanda",3 bhk,1250,3,200,Delhi,3
"Aravali Apartments, Alaknanda",3 bhk,1800,3,200,Delhi,3
"Shivalik Apartments, Alaknanda",3 bhk,1400,2,260,Delhi,3
"Narmada Apartment, Alaknanda",3 bhk,1000,3,195,Delhi,3
"Tara Apartment, Alaknanda",4 bhk,1800,2,215,Delhi,4
Alaknanda,3 bhk,1500,3,265,Delhi,3
"Narmada Apartment, Alaknanda",3 bhk,1600,3,200,Delhi,3
"Narmada Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road society Narmada Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Near Alaknanda Main Market & Greater Kailash Metro Station. A very good 3 bhk flat for sale in rwa Narmada Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",3 bhk,1400,3,180,Delhi,3
Alaknanda,3 bhk,1400,2,190,Delhi,3
Greater Kailash 4 Nri Colony,4 bhk,2700,4,365,Delhi,4
Alaknanda,2 bhk,1100,2,150,Delhi,2
Alaknanda,2 bhk,1200,2,175,Delhi,2
Alaknanda,2 bhk,1400,2,140,Delhi,2
"Project Gangotri Enclave, Alaknanda",3 bhk,1500,3,210,Delhi,3
Alaknanda,3 bhk,1320,2,156,Delhi,3
"Project Gangotri Enclave, Gangotri Enclave, Alaknanda",3 bhk,1300,3,190,Delhi,3
"Narmada Apartment, Alaknanda",2 bhk,1150,2,165,Delhi,2
Alaknanda,3 bhk,1440,3,190,Delhi,3
"Nilgiri Apartment, Alaknanda",2 bhk,1400,2,165,Delhi,2
Alaknanda,1 bhk,450,1,30,Delhi,1
"Yamuna Apartment, Alaknanda",2 bhk,1300,2,150,Delhi,2
"Nilgiri Apartment, Alaknanda",2 bhk,1200,2,143,Delhi,2
"Nilgiri Apartment, Alaknanda",3 bhk,1300,2,185,Delhi,3
"Tara Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park society Tara Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 4 ownership Freehold Near Alaknanda Main Market, Jamia Humderd University & Batra hospital. A very good 3 bhk flat for sale in rwa Tara Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. Other f read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",3 bhk,1400,3,190,Delhi,3
Alaknanda,3 bhk,1400,3,190,Delhi,3
"Govindpuri Extension, Kalkaji",2 bhk,500,2,33,Delhi,2
"Govindpuri Extension, Kalkaji",2 bhk,700,2,38,Delhi,2
"Govindpuri Extension, Kalkaji",3 bhk,900,3,70,Delhi,3
Kalkaji,3 bhk,1260,3,165,Delhi,3
"Govindpuri Extension, Kalkaji",3 bhk,950,2,80,Delhi,3
"DDA LIG Flat, Kalkaji",1 bhk,405,1,56,Delhi,1
Kalkaji,2 bhk,1800,2,210,Delhi,2
Kalkaji,3 bhk,1300,3,210,Delhi,3
"Govindpuri Extension, Kalkaji",3 bhk,1000,3,86,Delhi,3
"Giri Nagar, KalkaJi",3 bhk,900,2,66,Delhi,3
"Govindpuri Extension, Kalkaji",3 bhk,1800,3,140,Delhi,3
"Govindpuri Extension, Kalkaji",2 bhk,720,2,47,Delhi,2
"Rishi Apartment, Kalkaji",3 bhk,1485,3,300,Delhi,3
Kalkaji,3 bhk,1600,3,260,Delhi,3
"Deshbandhu Apartments, Kalkaji",2 bhk,1200,2,185,Delhi,2
"Dda Janta Flats, Kalkaji",2 bhk,900,2,65,Delhi,2
Kalkaji,2 bhk,900,2,150,Delhi,2
"Kalkaji super area 800 sqft status Ready to Move floor 3 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - West overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 2 ownership Freehold 2 bhk flat for sale in kalkaji this is third floor with 2 bed room and bathrooms very peace full location and posh. The Summer Fields School is considered as among the best school of New Delhi and is located just beside to this property. Within the range of 4-5km, you will find some of the well-equipped hospitals which include AIMS Hospital and Moolchand Hospital.for more information about this flat please call me feel free. read more Contact Agent View Phone No. Share Feedback Agent Rose Estate 100+ Buyers Served",2 bhk,800,2,80,Delhi,2
"Deshbandhu Apartments, Kalkaji",2 bhk,1150,3,161,Delhi,2
"Govindpuri Extension, Kalkaji",3 bhk,900,3,68,Delhi,3
Kalkaji Extention,3 bhk,1070,2,68,Delhi,3
Kalkaji Extention,2 bhk,1050,2,90,Delhi,2
"Kalkaji super area 1000 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing North - West overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 2 balcony 2 ownership Freehold Very beautiful 3 bedroom with attached washroom , drawing dining , modular kitchen , ac , servant room , power backup, powder room, separate underground and overhead water tanks, walking distance to market , easy access to ring road . For more details and site visit please contact cosmo properties. read more Contact Agent View Phone No. Share Feedback Agent Zee Associates",2 bhk,1000,2,180,Delhi,2
"Mandakini Enclave Project, Kalkaji",3 bhk,1550,3,275,Delhi,3
"Deshbandhu Apartments, Kalkaji carpet area 1300 sqft status Ready to Move floor 3 out of 4 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road society Deshbandhu Apartments car parking 1 Covered, 1 Open bathroom 2 balcony 2 ownership Freehold Third Floor with terrace 3 bhk builder floor apartment with 2 attached bathrooms located in kalkaji Deshbandu apartment . all water and electrical connections installed, very spacious drawing room , 2 balconies in front and rear each dedicated parking spot for 1 car. extra parking space available for additional cars, Immediately for sale , read more Contact Agent View Phone No. Share Feedback Agent Bhawani Realtors",3 bhk,1300,2,135,Delhi,3
Kalkaji,2 bhk,810,2,140,Delhi,2
Kalkaji,2 bhk,900,2,90,Delhi,2
"Deshbandhu Apartments, Kalkaji",2 bhk,1200,2,160,Delhi,2
Kalkaji Extention,2 bhk,1000,3,110,Delhi,2
"Govindpuri Extension, Kalkaji",2 bhk,720,2,55,Delhi,2
Hauz Khas,3 bhk,2520,3,475,Delhi,3
Hauz Khas,3 bhk,1700,4,450,Delhi,3
Hauz Khas,3 bhk,1800,3,435,Delhi,3
"Hauz Khas Apartment, Hauz Khas Enclave, Hauz Khas",5 bhk,6000,5,1800,Delhi,5
Hauz Khas,4 bhk,1800,4,800,Delhi,4
"Sarva Priya Apartment, Hauz Khas",3 bhk,2000,3,375,Delhi,3
Hauz Khas,4 bhk,2066,4,600,Delhi,4
"Hauz Khas Enclave, Hauz Khas",3 bhk,2050,3,710,Delhi,3
"Safdarjung Development Area, Hauz Khas",3 bhk,1100,3,185,Delhi,3
Hauz Khas,4 bhk,4500,4,700,Delhi,4
"Hauz Khas Enclave, Hauz Khas",4 bhk,4500,5,850,Delhi,4
"Mayfair garden, Hauz Khas",4 bhk,6500,5,1900,Delhi,4
"Orchid Metropolis, Hauz Khas",4 bhk,4350,6,1350,Delhi,4
Hauz Khas,3 bhk,1750,3,350,Delhi,3
"Safdarjung Development Area, Hauz Khas",4 bhk,3600,4,650,Delhi,4
"Hauz Khas Enclave, Hauz Khas",2 bhk,1200,2,275,Delhi,2
Hauz Khas,3 bhk,1500,4,450,Delhi,3
"Hauz Khas Enclave, Hauz Khas",4 bhk,2250,4,1000,Delhi,4
Hauz Khas,3 bhk,1800,4,470,Delhi,3
Hauz Khas,3 bhk,1600,4,275,Delhi,3
Hauz Khas,4 bhk,2800,5,700,Delhi,4
"Sarva Priya Apartment, Hauz Khas carpet area 1700 sqft status Ready to Move floor 1 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park society Sarva Priya Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold desperarte sale ,its clear tile, proper cross ventilation ,proper an matter for one week ,crystle sunlight found, and air,ICIC BANK LOAN APPROVAL, good to see , have lucky chance to get such a reraly rare property read more Contact Agent View Phone No. Share Feedback Agent New Capital Properties 1000+ Buyers Served",3 bhk,1700,3,365,Delhi,3
"Hauz Khas Enclave, Hauz Khas",4 bhk,2400,5,650,Delhi,4
"Sarva Priya Apartment, Hauz Khas",3 bhk,1980,4,350,Delhi,3
"Hauz Khas Enclave, Hauz Khas",4 bhk,2100,5,560,Delhi,4
"Hauz Khas Enclave, Hauz Khas",4 bhk,5400,4,1100,Delhi,4
"Safdarjung Development Area, Hauz Khas",3 bhk,1250,3,240,Delhi,3
Hauz Khas,4 bhk,2300,4,1025,Delhi,4
"Hauz Khas Enclave, Hauz Khas",4 bhk,2700,4,1000,Delhi,4
"Safdarjung Development Area, Hauz Khas",3 bhk,1450,3,450,Delhi,3
Chittaranjan Park,3 bhk,2097,3,290,Delhi,3
"Arya Chittaranjan Park, Chittaranjan Park",3 bhk,1250,3,255,Delhi,3
Chittaranjan Park,3 bhk,1600,3,335,Delhi,3
Chittaranjan Park,4 bhk,2600,5,625,Delhi,4
Chittaranjan Park,3 bhk,1700,3,475,Delhi,3
Chittaranjan Park,3 bhk,1116,3,147,Delhi,3
Chittaranjan Park,2 bhk,1070,3,180,Delhi,2
Chittaranjan Park,3 bhk,1200,3,225,Delhi,3
Chittaranjan Park,3 bhk,1200,3,220,Delhi,3
Chittaranjan Park carpet area 1200 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North - East overlooking Garden/Park bathroom 3 balcony 2 ownership Freehold Newly Constructed Property Newly Constructed Property brand new 1st floor 3bedroom attach bathrooms stilt car parking modular kitchen air condition prime location c r park read more Contact Agent View Phone No. Share Feedback Nirmala Associates Certified Agent Trusted by Users Genuine Listings 1500+ Buyers Served,3 bhk,1200,3,222,Delhi,3
Chittaranjan Park,3 bhk,1450,3,225,Delhi,3
Chittaranjan Park,2 bhk,1000,2,75,Delhi,2
"Chittaranjan Park carpet area 270 sqyrd status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road car parking 5 Open bathroom 4 balcony 3 ownership Freehold 3 Side Open, Fully ventilated, Close to Market, Above Bank and 24 x 7 ATM because of which good security. Elite Neighbor hood. Very good for Rental Income. Also can be used for commercial Office Purpose by Advocates. read more Contact Owner View Phone No. Share Feedback Owner Mayur Mayur Aggarwal",4 bhk,2430,4,300,Delhi,4
Chittaranjan Park,2 bhk,945,1,65,Delhi,2
Chittaranjan Park,3 bhk,1650,3,350,Delhi,3
"Nehru Enclave, Kalkaji",3 bhk,1350,2,175,Delhi,3
Chittaranjan Park,4 bhk,2625,5,600,Delhi,4
Chittaranjan Park,4 bhk,1800,4,400,Delhi,4
Chittaranjan Park,3 bhk,125,3,115,Delhi,3
Chittaranjan Park,3 bhk,1440,3,225,Delhi,3
Chittaranjan Park,3 bhk,1900,4,285,Delhi,3
Chittaranjan Park,3 bhk,1800,3,290,Delhi,3
Chittaranjan Park,3 bhk,1200,2,155,Delhi,3
"Nehru Enclave, Kalkaji",3 bhk,1800,3,260,Delhi,3
Chittaranjan Park,3 bhk,1200,3,165,Delhi,3
Chittaranjan Park,4 bhk,4118,5,550,Delhi,4
Chittaranjan Park,3 bhk,1050,2,125,Delhi,3
Chittaranjan Park,3 bhk,875,3,175,Delhi,3
Chittaranjan Park Block A,2 bhk,990,2,115,Delhi,2
Chittaranjan Park,3 bhk,11050,3,185,Delhi,3
